QUOTE_UNIXTIME, QUOTE_READTIME, QUOTE_DATE, QUOTE_TIME_HOURS, UNDERLYING_LAST, EXPIRE_DATE, EXPIRE_UNIX, DTE, C_DELTA, C_GAMMA, C_VEGA, C_THETA, C_RHO, C_IV, C_VOLUME, C_LAST, C_SIZE, C_BID, C_ASK, STRIKE, P_BID, P_ASK, P_SIZE, P_LAST, P_DELTA, P_GAMMA, P_VEGA, P_THETA, P_RHO, P_IV, P_VOLUME, STRIKE_DISTANCE, STRIKE_DISTANCE_PCT
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.038780, , 0.000000, 15.900000, 40 x 10, 22.480000, 22.650000, 301.000000, 0.290000, 0.300000, 615 x 612, 0.290000, -0.048450, 0.007050, 0.036840, -0.135540, -0.002160, 0.387230, 447.000000, 22.600000, 0.070000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000100, 0.039260, , 2.000000, 20.750000, 22 x 10, 21.470000, 21.620000, 302.000000, 0.330000, 0.340000, 54 x 1173, 0.300000, -0.054110, 0.007830, 0.040730, -0.149390, -0.002400, 0.383890, 304.000000, 21.600000, 0.067000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.038740, , 2.000000, 22.400000, 10 x 51, 21.020000, 21.160000, 302.500000, 0.340000, 0.360000, 727 x 291, 0.330000, -0.057510, 0.008180, 0.042280, -0.156110, -0.002280, 0.380540, 124.000000, 21.100000, 0.065000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.994610, 0.001880, 0.005580, -0.010350, 0.039340, 0.228140, 0.000000, 15.820000, 38 x 49, 20.530000, 20.690000, 303.000000, 0.360000, 0.370000, 119 x 727, 0.360000, -0.060300, 0.008640, 0.044650, -0.162670, -0.002980, 0.377880, , 20.600000, 0.064000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.921810, 0.010150, 0.053500, -0.211620, 0.036020, 0.393870, 3.000000, 19.780000, 20 x 10, 19.850000, 20.370000, 304.000000, 0.380000, 0.400000, 4 x 561, 0.400000, -0.065060, 0.009410, 0.047140, -0.167640, -0.002650, 0.367520, , 19.600000, 0.061000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.978490, 0.005340, 0.018370, -0.041870, 0.038980, 0.257740, 35.000000, 17.780000, 10 x 15, 18.590000, 18.730000, 305.000000, 0.460000, 0.470000, 394 x 35, 0.450000, -0.075370, 0.010490, 0.052960, -0.190720, -0.002740, 0.366900, , 18.600000, 0.057000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.959840, 0.008240, 0.031380, -0.083500, 0.037940, 0.283080, 4.000000, 17.950000, 67 x 11, 17.680000, 17.850000, 306.000000, 0.520000, 0.530000, 391 x 73, 0.480000, -0.084150, 0.011600, 0.057000, -0.206890, -0.003300, 0.362610, 664.000000, 17.600000, 0.054000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.941770, 0.010680, 0.042760, -0.124730, 0.036910, 0.298790, 4.000000, 17.020000, 10 x 20, 16.800000, 16.940000, 307.000000, 0.560000, 0.590000, 42 x 580, 0.540000, -0.093000, 0.012730, 0.061580, -0.220620, -0.004130, 0.355660, 782.000000, 16.600000, 0.051000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.938940, 0.011210, 0.044350, -0.127290, 0.036850, 0.293340, 0.000000, 13.130000, 58 x 10, 16.280000, 16.490000, 307.500000, 0.590000, 0.600000, 402 x 87, 0.600000, -0.097590, 0.013310, 0.063380, -0.224560, -0.004310, 0.351200, 236.000000, 16.100000, 0.050000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.937030, 0.011710, 0.045680, -0.126350, 0.037030, 0.285710, 160.000000, 14.830000, 29 x 37, 15.800000, 15.960000, 308.000000, 0.630000, 0.670000, 68 x 412, 0.640000, -0.103060, 0.013960, 0.066680, -0.235390, -0.004350, 0.349190, 622.000000, 15.600000, 0.048000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.928190, 0.013240, 0.050740, -0.139280, 0.037110, 0.280280, 11.000000, 13.920000, 10 x 10, 14.850000, 15.000000, 309.000000, 0.720000, 0.730000, 14 x 313, 0.680000, -0.115030, 0.015320, 0.071400, -0.252380, -0.004420, 0.343300, , 14.600000, 0.045000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.911950, 0.015350, 0.059310, -0.166830, 0.035930, 0.282080, 190.000000, 14.170000, 10 x 19, 13.950000, 14.090000, 310.000000, 0.800000, 0.820000, 227 x 390, 0.810000, -0.128200, 0.016800, 0.077390, -0.270610, -0.005010, 0.338270, , 13.600000, 0.042000
